"Plot Title: H01"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20157552, SEN S/N: 20150390, LBL: 01OT)","Solar Radiation, W/m² (LGR S/N: 20157552, SEN S/N: 21091712, LBL: 01PYRO)","RH, % (LGR S/N: 20157552, SEN S/N: 20150390, LBL: 01RH)","Water Content, m³/m³ (LGR S/N: 20157552, SEN S/N: 21091549, LBL: 01SM20)","Water Content, m³/m³ (LGR S/N: 20157552, SEN S/N: 21091554, LBL: 01SM40)","Water Content, m³/m³ (LGR S/N: 20157552, SEN S/N: 21091565, LBL: 01SM60)","Water Content, m³/m³ (LGR S/N: 20157552, SEN S/N: 21091559, LBL: 01SM80)","Temp, °C (LGR S/N: 20157552, SEN S/N: 21077386, LBL: 01T20)","Temp, °C (LGR S/N: 20157552, SEN S/N: 21077387, LBL: 01T40)","Temp, °C (LGR S/N: 20157552, SEN S/N: 21094100, LBL: 01T60)","Temp, °C (LGR S/N: 20157552, SEN S/N: 21094101, LBL: 01T80)","Batt, V (LGR S/N: 20157552)"
1,11/02/21 11:00:27 AM,0.412,38.1,81.800,0.2052,0.1036,0.1619,0.2294,7.217,8.319,9.361,9.805,4.357
2,11/02/21 11:10:27 AM,0.439,58.1,79.900,0.2047,0.1036,0.1623,0.2291,7.217,8.319,9.361,9.829,4.351
3,11/02/21 11:20:27 AM,0.797,78.1,79.200,0.2047,0.1031,0.1619,0.2291,7.217,8.319,9.361,9.829,4.345
4,11/02/21 11:30:27 AM,0.797,83.1,78.500,0.2052,0.1036,0.1623,0.2291,7.217,8.319,9.361,9.829,4.357
5,11/02/21 11:40:27 AM,1.071,90.6,77.700,0.2052,0.1036,0.1619,0.2294,7.217,8.319,9.361,9.829,4.351
6,11/02/21 11:50:27 AM,1.071,80.6,75.900,0.2052,0.1036,0.1619,0.2291,7.217,8.319,9.361,9.805,4.345
7,11/02/21 12:00:27 PM,1.153,80.6,75.300,0.2052,0.1036,0.1619,0.2291,7.192,8.319,9.361,9.805,4.357
8,11/02/21 12:10:27 PM,1.235,71.9,74.900,0.2052,0.1036,0.1619,0.2291,7.192,8.319,9.361,9.805,4.351
9,11/02/21 12:20:27 PM,1.371,75.6,75.000,0.2052,0.1036,0.1619,0.2294,7.192,8.295,9.361,9.805,4.345
10,11/02/21 12:30:27 PM,1.425,61.9,75.600,0.2052,0.1036,0.1619,0.2291,7.192,8.295,9.361,9.805,4.351
11,11/02/21 12:40:27 PM,1.180,63.1,75.400,0.2052,0.1036,0.1615,0.2291,7.192,8.295,9.361,9.805,4.351
12,11/02/21 12:50:27 PM,1.371,65.6,76.300,0.2052,0.1036,0.1623,0.2294,7.167,8.295,9.336,9.805,4.363
13,11/02/21 01:00:27 PM,1.371,75.6,74.900,0.2052,0.1036,0.1619,0.2291,7.167,8.295,9.336,9.805,4.351
14,11/02/21 01:10:27 PM,1.724,88.1,73.600,0.2052,0.1036,0.1619,0.2291,7.167,8.295,9.336,9.805,4.345
15,11/02/21 01:20:27 PM,1.805,84.4,71.900,0.2052,0.1031,0.1615,0.2291,7.167,8.295,9.336,9.805,4.369
16,11/02/21 01:30:27 PM,1.805,75.6,72.200,0.2056,0.1031,0.1619,0.2291,7.167,8.270,9.336,9.805,4.357
17,11/02/21 01:40:27 PM,2.128,105.6,71.100,0.2052,0.1031,0.1619,0.2291,7.167,8.270,9.336,9.805,4.351
18,11/02/21 01:50:27 PM,2.155,111.9,70.900,0.2056,0.1036,0.1619,0.2291,7.142,8.270,9.336,9.805,4.345
19,11/02/21 02:00:27 PM,2.155,94.4,69.400,0.2056,0.1031,0.1619,0.2291,7.142,8.270,9.336,9.805,4.363
20,11/02/21 02:10:27 PM,2.396,88.1,69.400,0.2056,0.1031,0.1619,0.2291,7.142,8.270,9.336,9.805,4.351
21,11/02/21 02:20:27 PM,2.396,74.4,69.200,0.2052,0.1036,0.1615,0.2291,7.142,8.270,9.336,9.805,4.351
22,11/02/21 02:30:27 PM,2.047,71.9,69.300,0.2052,0.1031,0.1619,0.2291,7.142,8.270,9.312,9.805,4.345
23,11/02/21 02:40:27 PM,2.182,53.1,69.200,0.2052,0.1031,0.1615,0.2291,7.116,8.245,9.312,9.780,4.351
24,11/02/21 02:50:27 PM,2.074,43.1,70.300,0.2052,0.1031,0.1619,0.2291,7.116,8.245,9.312,9.780,4.345
25,11/02/21 03:00:27 PM,2.155,56.9,69.900,0.2052,0.1031,0.1615,0.2291,7.116,8.245,9.312,9.780,4.363
26,11/02/21 03:10:27 PM,2.101,51.9,69.800,0.2052,0.1031,0.1619,0.2291,7.116,8.245,9.312,9.780,4.351
27,11/02/21 03:20:27 PM,2.155,49.4,70.000,0.2052,0.1031,0.1619,0.2291,7.116,8.220,9.312,9.780,4.345
28,11/02/21 03:30:27 PM,2.289,51.9,69.800,0.2052,0.1031,0.1619,0.2291,7.116,8.220,9.312,9.780,4.393
29,11/02/21 03:40:27 PM,2.128,34.4,69.300,0.2052,0.1031,0.1615,0.2291,7.116,8.220,9.312,9.780,4.345
30,11/02/21 03:50:27 PM,1.913,21.9,69.700,0.2047,0.1031,0.1619,0.2291,7.116,8.220,9.312,9.780,4.351
31,11/02/21 04:00:27 PM,1.886,29.4,69.400,0.2047,0.1031,0.1615,0.2291,7.091,8.220,9.312,9.780,4.345
32,11/02/21 04:10:27 PM,1.886,24.4,70.200,0.2043,0.1031,0.1619,0.2291,7.091,8.220,9.312,9.780,4.339
33,11/02/21 04:20:27 PM,1.832,24.4,69.600,0.2043,0.1031,0.1615,0.2291,7.091,8.220,9.312,9.780,4.351
34,11/02/21 04:30:27 PM,1.778,19.4,70.500,0.2043,0.1031,0.1619,0.2291,7.091,8.220,9.287,9.780,4.345
35,11/02/21 04:40:27 PM,1.751,19.4,70.500,0.2043,0.1031,0.1615,0.2291,7.091,8.220,9.287,9.780,4.351
36,11/02/21 04:50:27 PM,1.697,16.9,70.400,0.2043,0.1031,0.1615,0.2291,7.091,8.195,9.287,9.780,4.345
37,11/02/21 05:00:27 PM,1.588,10.6,71.900,0.2043,0.1031,0.1615,0.2291,7.091,8.195,9.287,9.756,4.345
38,11/02/21 05:10:27 PM,1.480,9.4,72.900,0.2047,0.1031,0.1619,0.2291,7.091,8.195,9.287,9.756,4.345
39,11/02/21 05:20:27 PM,1.371,6.9,74.700,0.2043,0.1031,0.1615,0.2291,7.091,8.195,9.287,9.756,4.345
40,11/02/21 05:30:27 PM,1.317,3.1,74.500,0.2043,0.1031,0.1619,0.2291,7.091,8.195,9.287,9.756,4.339
41,11/02/21 05:40:27 PM,1.180,1.9,76.000,0.2047,0.1031,0.1615,0.2291,7.066,8.195,9.287,9.756,4.339
42,11/02/21 05:50:27 PM,1.153,0.6,75.900,0.2047,0.1031,0.1619,0.2286,7.066,8.170,9.287,9.756,4.339
43,11/02/21 06:00:27 PM,0.962,0.6,77.000,0.2043,0.1031,0.1615,0.2291,7.066,8.170,9.262,9.756,4.333
44,11/02/21 06:10:27 PM,0.852,0.6,77.100,0.2043,0.1031,0.1615,0.2291,7.091,8.170,9.262,9.756,4.333
45,11/02/21 06:20:27 PM,0.715,0.6,77.600,0.2047,0.1031,0.1615,0.2291,7.066,8.170,9.262,9.756,4.363
46,11/02/21 06:30:27 PM,0.660,0.6,77.400,0.2047,0.1031,0.1615,0.2291,7.066,8.170,9.262,9.756,4.333
47,11/02/21 06:40:27 PM,0.577,0.6,77.600,0.2047,0.1031,0.1615,0.2291,7.066,8.170,9.262,9.756,4.327
